"filename", "language", "JavaScript", "Markdown", "Vue", "JSON", "HTML", "SCSS", "comment", "blank", "total"
"d:\Desktop\Node-Vue\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\Desktop\Node-Vue\admin\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 7, 30
"d:\Desktop\Node-Vue\admin\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Desktop\Node-Vue\admin\package-lock.json", "JSON", 0, 0, 0, 12164, 0, 0, 0, 1, 12165
"d:\Desktop\Node-Vue\admin\package.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 1, 54
"d:\Desktop\Node-Vue\admin\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 1, 1, 18
"d:\Desktop\Node-Vue\admin\src\App.vue", "Vue", 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\Desktop\Node-Vue\admin\src\components\HelloWorld.vue", "Vue", 0, 0, 55, 0, 0, 0, 1, 3, 59
"d:\Desktop\Node-Vue\admin\src\element-variables.scss", "SCSS", 0, 0, 0, 0, 0, 3, 6, 3, 12
"d:\Desktop\Node-Vue\admin\src\http.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 5, 23
"d:\Desktop\Node-Vue\admin\src\main.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Desktop\Node-Vue\admin\src\plugins\element.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Desktop\Node-Vue\admin\src\router\index.js", "JavaScript", 60, 0, 0, 0, 0, 0, 2, 25, 87
"d:\Desktop\Node-Vue\admin\src\views\AdEdit.vue", "Vue", 0, 0, 109, 0, 0, 0, 4, 20, 133
"d:\Desktop\Node-Vue\admin\src\views\AdList.vue", "Vue", 0, 0, 54, 0, 0, 0, 2, 3, 59
"d:\Desktop\Node-Vue\admin\src\views\AdminUserEdit.vue", "Vue", 0, 0, 52, 0, 0, 0, 4, 16, 72
"d:\Desktop\Node-Vue\admin\src\views\AdminUserList.vue", "Vue", 0, 0, 54, 0, 0, 0, 2, 4, 60
"d:\Desktop\Node-Vue\admin\src\views\ArticleEdit.vue", "Vue", 0, 0, 83, 0, 0, 0, 6, 13, 102
"d:\Desktop\Node-Vue\admin\src\views\ArticleList.vue", "Vue", 0, 0, 54, 0, 0, 0, 2, 3, 59
"d:\Desktop\Node-Vue\admin\src\views\CategoryEdit.vue", "Vue", 0, 0, 66, 0, 0, 0, 5, 12, 83
"d:\Desktop\Node-Vue\admin\src\views\CategoryList.vue", "Vue", 0, 0, 55, 0, 0, 0, 2, 3, 60
"d:\Desktop\Node-Vue\admin\src\views\HeroEdit.vue", "Vue", 0, 0, 227, 0, 0, 0, 13, 31, 271
"d:\Desktop\Node-Vue\admin\src\views\HeroList.vue", "Vue", 0, 0, 59, 0, 0, 0, 2, 4, 65
"d:\Desktop\Node-Vue\admin\src\views\ItemEdit.vue", "Vue", 0, 0, 91, 0, 0, 0, 10, 19, 120
"d:\Desktop\Node-Vue\admin\src\views\ItemList.vue", "Vue", 0, 0, 59, 0, 0, 0, 2, 4, 65
"d:\Desktop\Node-Vue\admin\src\views\Login.vue", "Vue", 0, 0, 43, 0, 0, 0, 2, 4, 49
"d:\Desktop\Node-Vue\admin\src\views\Main.vue", "Vue", 0, 0, 93, 0, 0, 0, 2, 14, 109
"d:\Desktop\Node-Vue\admin\vue.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\Node-Vue\package-lock.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Desktop\Node-Vue\server\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 5, 20
